5;2008;14;Tenesol;TE 2000/200 Mono;1;Tenesol;Energrid EG 2500;2800;21;40;Evasol;2793;46.79;4.85;France;71100;Chalon sur Saone;Bourgogne Franche Comte;Saone et Loire
6;2007;6;Schuco;S 325 PP;1;SMA;Sunny Boy 1700;1950;16;35;La Veille Montagne;0;47.97;6.45;France;88370;Plombieres les Bains;Alsace Champagne Ardenne Lorraine;Vosges
3;2003;21;Siemens Solar;SM110;1;Solwex;20270 E;2310;21;45;HELIOVOLT;2279;48.76;7.86;France;67240;Bischwiller;Alsace Champagne Ardenne Lorraine;Bas Rhin
3;2009;14;Tenesol;Arsolar 122W Simple;1;SMA;Sunny Boy 1100;1708;21;45;Librelec;0;47.48; 2.26;France;44410;Herbignac;Pays de la Loire;Loire Atlantique
10;2008;25;Photowatt;PW6 123 / 120W;1;Photowatt;PWI 6 40 I;3000;25;25;R.LEPARGNEUR;2944;45.42;4.32;France;42230;Roche la Moliere;Auvergne Rhone Alpes;Loire
8;2008;14;Sanyo;HIP 210 NKHE1;1;SMA;Sunny Boy 2800;2940;18;20;SCIC Tout Naturellement Solidaires;3805;43.63;4.81;France;13310;Saint Martin de Crau;Provence Alpes Cote d'Azur;Bouches du Rhone
1;2009;16;Solarfun;SF 175 M5 24 (175 wc);1;SMA;Sunny Boy 2500;2800;21;30;EDF ENR;0;45.30;5.00;France;26210;Manthes;Auvergne Rhone Alpes;Drome
1;2009;7;Schuco;S 310 PM 2;1;Schuco;SGI 2500;2170;15;30;BSP;0;44.19;4.61;France;30200;Saint Nazaire;Languedoc Roussillon Midi Pyrenees;Gard
9;2007;12;CONERGY;C 160 P;1;CONERGY;WR 2300;1920;16;15;Besson;0;45.09;5.08;France;26750;Genissieux;Auvergne Rhone Alpes;Drome
1;2008;24;Kyocera;KC 130 GHT 2;1;Fronius;IG 30;3120;21;20;TRI ENERGIE;3433;47.08; 1.51;France;44140;Le Bignon;Pays de la Loire;Loire Atlantique
4;2000;12;Photowatt;PW 500 / 45W;1;SMA;Sunny Boy 700 Hi;540;6;60;AUTO INSTALLATION;558;45.25;5.59;France;38360;Noyarey;Auvergne Rhone Alpes;Isere
3;2011;14;Kyocera;KD 210GH 2P;1;SMA;Sunny Boy 3000TL;2940;21;40;"Non renseign&amp;amp;eacute;";2720;49.03;7.28;France;57410;Rohrbach l�s Bitche;Grand Est;Moselle
6;2007;36;Imerys;Solardachziegel (55 Wc);1;SMA;Sunny Boy 1700;1980;20;20;Solaris enr;0;45.54;4.96;France;38780;Septeme;Auvergne Rhone Alpes;Isere
12;2007;14;Kyocera;KC 130 GHT 2;1;Fronius;IG 15;1820;13;30;Panosol;0;43.37;1.16;France;31370;Berat;Languedoc Roussillon Midi Pyrenees;Haute Garonne
3;2008;24;Wurth Solar;WS 11007/70;1;SMA;Sunny Boy 3800;1680;0;30;"Non renseign&eacute;";0;43.50;1.16;France;31470;Saint Lys;Languedoc Roussillon Midi Pyrenees;Haute Garonne
9;2008;8;Sanyo;HIP 220 HDE1;1;SMA;Sunny Boy 2100TL;1760;12;35;"Volta&iuml;que";0;49.16;6.77;France;57800;Freyming Merlebach;Alsace Champagne Ardenne Lorraine;Moselle
9;2008;16;Solarstocc;SLP 180 M5 JDE;1;Solarstocc;PS 3000 HV;2880;23;20;AECS;0;45.55; 0.52;France;17800;Avy;Aquitaine Limousin Poitou Charentes;Charente Maritime
1;2008;12;Schuco;S 310 PM 1;2;SMA;Sunny Boy 2100TL;3720;32;15;BSP;4587;44.02;3.67;France;30570;Saint Andre de Majencoules;Languedoc Roussillon Midi Pyrenees;Gard
10;2008;15;DAXTEC;MSTD200;1;Mastervolt;SunMaster QS 3500 Ma;3000;24;30;Plein Sud;3629;44.78; 0.46;France;33360;Cenac;Aquitaine Limousin Poitou Charentes;Gironde
10;2006;30;Kyocera;KC 120;2;SMA;Sunny Boy 1700;3600;30;20;Mahe a Madiere en Ariege;4427;43.14;1.71;France;9700;La Bastide de Lordat;Languedoc Roussillon Midi Pyrenees;Ariege
2;2008;14;Istar Solar;IS3000P   140wp;1;Solax;Mini X1 100;1960;14;45;Alp Solaire plus;2264;45.67;5.89;France;73100;Tresserve;Auvergne Rhone Alpes;Savoie
7;2007;12;SHARP;NT R5E3E;1;SMA;Sunny Boy 2100TL;2100;16;25;123 Solaire;2492;45.73;4.96;France;69680;Chassieu;Auvergne Rhone Alpes;Rhone
10;2008;16;SHARP;ND 170 E1 F (170 Wc);1;Fronius;IG 30;2720;21;35;Durand;3022;47.41; 1.20;France;44522;Mesanger;Pays de la Loire;Loire Atlantique
