7;2170;15;30;0;1;44.19;4.61;1;2009;BSP;SGI-2500;S 310-PM-2;1129
12;1920;16;15;0;1;45.09;5.08;9;2007;Besson;WR 2300;C 160 P;1130
24;3120;21;20;3433;1;47.08;-1.51;1;2008;TRI ENERGIE;IG 30;KC 130 GHT-2;1133
12;540;6;60;558;1;45.25;5.59;4;2000;AUTO INSTALLATION;Sunny Boy 700 Hi;PW 500 / 45W;1134
14;2940;21;40;2720;1;49.03;7.28;3;2011;"Non renseign&amp;amp;eacute;";Sunny Boy 3000TL;KD 210GH-2P;1135
36;1980;20;20;0;1;45.54;4.96;6;2007;Solaris-enr;Sunny Boy 1700;Solardachziegel (55 Wc);1136
14;1820;13;30;0;1;43.37;1.16;12;2007;Panosol;IG 15;KC 130 GHT-2;1138
24;1680;0;30;0;1;43.50;1.16;3;2008;"Non renseign&eacute;";Sunny Boy 3800;WS 11007/70;1139
8;1760;12;35;0;1;49.16;6.77;9;2008;"Volta&iuml;que";Sunny Boy 2100TL;HIP-220 HDE1;1140
16;2880;23;20;0;1;45.55;-0.52;9;2008;AECS;PS 3000-HV;SLP 180 M5-JDE;1141
12;3720;32;15;4587;2;44.02;3.67;1;2008;BSP;Sunny Boy 2100TL;S 310-PM-1;1142
15;3000;24;30;3629;1;44.78;-0.46;10;2008;Plein Sud;SunMaster QS 3500 Ma;MSTD200;1143
30;3600;30;20;4427;2;43.14;1.71;10;2006;Mahe a Madiere en Ariege;Sunny Boy 1700;KC 120;1145
14;1960;14;45;2264;1;45.67;5.89;2;2008;Alp Solaire plus;Mini X1-100;IS3000P - 140wp;1146
12;2100;16;25;2492;1;45.73;4.96;7;2007;123 Solaire;Sunny Boy 2100TL;NT-R5E3E;1147
16;2720;21;35;3022;1;47.41;-1.20;10;2008;Durand;IG 30;ND-170 E1 F (170 Wc);1148
58;13050;84;20;0;3;48.72;6.18;8;2008;ECOSOL Energie;Sunny Mini Central 6;HIP-225 HDE1;1149
12;2580;18;30;0;1;45.44;5.40;12;2007;Solaire Energies systemes;SOLARMAX 3000C;HIP-215 NKHE5;1150
12;2100;15;30;2220;1;46.08;6.53;9;2008;Energies Economies Solutions;Sunny Boy 2100TL;STP 175-24/Ac;1151
8;2560;22;5;2832;1;44.08;1.37;11;2008;Bati 82;SOLARMAX 3000S;S 320-PM-2;1152
14;2660;21;35;3266;1;44.82;-0.61;9;2008;Plein Sud;SunMaster QS 3500 Ma;SONY 190 WP;1153
15;2550;19;20;3414;1;43.67;3.71;12;2007;SUNNCO;Powador 2500 xi;TSM-170D;1155
16;2800;21;15;3140;1;45.21;5.65;6;2008;EDEV-EnR / Photonpow;Sunny Boy 2500;SF 175 M5-24 (175 wc);1156
18;2880;30;20;0;2;46.17;6.29;4;2005;Crosetti;IG 20;Vitavolt 200 (160Wc);1157
10;3100;27;15;0;1;44.02;3.67;12;2007;BSP;Sunny Boy 2800;S 310-PM-1;1158
7;1470;0;45;0;2;49.10;6.18;1;2008;"Non renseign&eacute;";Protect-PV 250;alfasolar 210 MQ 6L;1159
16;3200;23;30;3300;1;49.20;5.95;12;2007;ECOSOL Energie;Sunny Boy 3300;KC 200GHT-2;1160
18;2916;24;20;3263;1;45.82;3.07;8;2007;Rolhion Energie;WR 3300;ND-Q2E3E;1162
20;3300;26;25;4013;1;44.36;1.40;12;2007;MECOTECH;Powador 3500 xi;STP 165-24/Aa;1163
40;2000;20;45;0;1;47.21;6.11;12;2007;HANS EURL;Sunny Boy 2100TL;Solardachziegel (50 Wc);1165
66;8580;66;35;0;2;43.49;-0.79;12;2007;"A&S B&eacute;arn";SOLARMAX 4200C;SF 130/2-130;1166
4;1240;10;25;0;1;45.55;4.96;7;2007;ECO LOGIQUE;Sunny Boy 1100;S 310-PM-1;1167
150;24000;240;15;0;4;45.49;6.04;6;2004;APEX Energies (ex BP Solar);IG 60;BP 4160S;1169
24;3120;24;40;0;1;47.84;-0.95;3;2008;SEVE ENERGIE;IG 30;KC 130 GHT-2;1170
36;2880;24;30;2509;1;50.54;2.94;11;2005;ENR SYSTEMS;Gridfit 2500;TE 850 (80W);1171
44;5720;41;45;6211;2;48.24;0.12;11;2007;"BROSSIER Electricit&eacute;";IG 40 4100W;KC 130 GHT-2;1173
24;2400;22;15;3357;1;43.78;5.52;11;2003;SUNWATT;Sunny Boy 2500;PW 1000 /  100W;1174
16;2640;20;40;2798;1;47.48;3.92;1;2009;Bourgogne Solaire;IG 30;BP 3165S;1175
